"BehaviorSpace results (NetLogo 6.0.2)"
"CapeTownABM.nlogo"
"scenario 1 efficiency"
"04/01/2019 11:55:57:447 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"6","1.5","true","-0.3","0.57","5.2","12","0","180","0","13062.709060555648","32193.5","45256.209060555644","921000","3.906"
"1","1","true","-0.3","0.57","5.2","11","0","180","0","4158.773299164639","28248.75","32407.52329916464","921000","3.875"
"8","1.7","true","-0.3","0.57","5.2","10","0","180","0","2109.883563403284","26547.625","28657.508563403284","921000","3.875"
"7","1.6","true","-0.3","0.57","5.2","13","0","180","0","19960.573344738877","33298.65","53259.22334473888","921000","3.906"
"3","1.2","true","-0.3","0.57","5.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"6","1.5","true","-0.3","0.57","5.2","13","0","180","0","19665.008760692697","33298.65","52963.6587606927","921000","3.906"
"4","1.3","true","-0.3","0.57","5.2","10","0","180","0","2108.200372014276","26547.625","28655.825372014275","921000","3.875"
"8","1.7","true","-0.3","0.57","5.2","11","0","180","0","4161.2046085798875","28248.75","32409.954608579887","921000","3.875"
"5","1.4","true","-0.3","0.57","5.2","10","0","180","0","2108.621169861528","26547.625","28656.24616986153","921000","3.875"
"7","1.6","true","-0.3","0.57","5.2","14","0","180","0","19735.473974592125","31497.984","51233.45797459212","800226.3538704608","3.906"
"1","1","true","-0.3","0.57","5.2","12","0","180","0","12554.642707037097","32193.5","44748.1427070371","921000","3.906"
"3","1.2","true","-0.3","0.57","5.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
"6","1.5","true","-0.3","0.57","5.2","14","0","180","0","19402.74935118012","31497.984","50900.73335118012","804324.1411285575","3.906"
"4","1.3","true","-0.3","0.57","5.2","11","0","180","0","4159.815288914031","28248.75","32408.565288914033","921000","3.875"
"5","1.4","true","-0.3","0.57","5.2","11","0","180","0","4160.162618830495","28248.75","32408.912618830494","921000","3.875"
"8","1.7","true","-0.3","0.57","5.2","12","0","180","0","13265.935601963069","32193.5","45459.435601963065","921000","3.906"
"1","1","true","-0.3","0.57","5.2","13","0","180","0","18187.1858404618","33298.65","51485.835840461805","921000","3.906"
"7","1.6","true","-0.3","0.57","5.2","15","0","180","0","18680.946458533825","33419.736000000004","52100.68245853383","692548.4379212765","3.906"
"6","1.5","true","-0.3","0.57","5.2","15","0","180","0","18337.251054875458","33419.736000000004","51756.98705487546","697311.6744261973","3.906"
"8","1.7","true","-0.3","0.57","5.2","13","0","180","0","20256.137928785058","33298.65","53554.78792878506","921000","3.906"
"4","1.3","true","-0.3","0.57","5.2","12","0","180","0","12859.482519148229","32193.5","45052.98251914823","921000","3.906"
"5","1.4","true","-0.3","0.57","5.2","12","0","180","0","12961.095789851937","32193.5","45154.59578985194","921000","3.906"
"3","1.2","true","-0.3","0.57","5.2","10","0","180","0","2107.779574167024","26547.625","28655.404574167023","921000","3.875"
"2","1.1","true","-0.3","0.57","5.2","1","0","180","0","19534.1786531632","33034.375","52568.553653163195","829442","3.875"
"1","1","true","-0.3","0.57","5.2","14","0","180","0","17739.126234120078","31497.984","49237.110234120075","824813.0774190384","3.906"
"7","1.6","true","-0.3","0.57","5.2","16","0","180","0","12566.590258232703","28709.100000000002","41275.6902582327","636004.073004209","3.906"
"8","1.7","true","-0.3","0.57","5.2","14","0","180","0","20068.198598004135","31497.984","51566.18259800413","796128.5666123647","3.906"
"6","1.5","true","-0.3","0.57","5.2","16","0","180","0","12221.503367093159","28709.100000000002","40930.603367093165","641454.7003164464","3.906"
"4","1.3","true","-0.3","0.57","5.2","13","0","180","0","19073.87959260034","33298.65","52372.529592600345","921000","3.906"
"5","1.4","true","-0.3","0.57","5.2","13","0","180","0","19369.444176646517","33298.65","52668.09417664652","921000","3.906"
"3","1.2","true","-0.3","0.57","5.2","11","0","180","0","4159.467958997568","28248.75","32408.217958997568","921000","3.875"
"6","1.5","true","-0.3","0.57","5.2","17","0","180","0","3136.204065315539","26275.662","29411.86606531554","653242.4935822601","3.906"
"7","1.6","true","-0.3","0.57","5.2","17","0","180","0","3291.0963363365754","26275.662","29566.758336336577","647101.6924877437","3.906"
"8","1.7","true","-0.3","0.57","5.2","15","0","180","0","19024.641862192188","33419.736000000004","52444.377862192196","687785.2014163565","3.906"
"4","1.3","true","-0.3","0.57","5.2","14","0","180","0","18737.3001043561","31497.984","50235.284104356106","812519.7156447499","3.906"
"5","1.4","true","-0.3","0.57","5.2","14","0","180","0","19070.024727768112","31497.984","50568.008727768116","808421.9283866534","3.906"
"3","1.2","true","-0.3","0.57","5.2","12","0","180","0","12757.869248444518","32193.5","44951.36924844452","921000","3.906"
"7","1.6","true","-0.3","0.57","5.2","18","0","180","0","393.29999999999995","23670.36","24063.66","751743.1758150705","3.906"
"8","1.7","true","-0.3","0.57","5.2","16","0","180","0","12911.677149372246","28709.100000000002","41620.77714937225","630553.445691972","3.906"
"6","1.5","true","-0.3","0.57","5.2","18","0","180","0","393.29999999999995","23670.36","24063.66","758193.761451629","3.906"
"5","1.4","true","-0.3","0.57","5.2","15","0","180","0","17993.555651217095","33419.736000000004","51413.2916512171","702074.9109311173","3.906"
"4","1.3","true","-0.3","0.57","5.2","15","0","180","0","17649.860247558732","33419.736000000004","51069.59624755874","706838.1474360378","3.906"
"3","1.2","true","-0.3","0.57","5.2","13","0","180","0","18778.31500855416","33298.65","52076.965008554165","921000","3.906"
"7","1.6","true","-0.3","0.57","5.2","19","0","180","0","388.73999999999995","23611.77","24000.510000000002","875200.8558150704","3.906"
"8","1.7","true","-0.3","0.57","5.2","17","0","180","0","3445.988607357611","26275.662","29721.65060735761","640960.8913932275","3.906"
"6","1.5","true","-0.3","0.57","5.2","19","0","180","0","388.73999999999995","23611.77","24000.510000000002","881651.4414516289","3.906"
"4","1.3","true","-0.3","0.57","5.2","16","0","180","0","11531.32958481407","28709.100000000002","40240.429584814075","652355.9549409203","3.906"
