"BehaviorSpace results (NetLogo 6.0.2)"
"CapeTownABM.nlogo"
"scenario 1 share"
"04/01/2019 11:58:48:415 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"2","1.5","true","-0.3","0.59","5.2","2","0","180","0","20589.201799767998","31248","51837.201799767994","711951.926400464","3.875"
"7","1.5","true","-0.3","0.69","5.2","47","0","180","0","8180.00072065689","28932.158223360002","37112.15894401689","921000","3.9687459840000003"
"3","1.5","true","-0.3","0.61","5.2","1","0","180","0","22022.461799767996","33034.375","55056.836799767996","829442","3.875"
"7","1.5","true","-0.3","0.69","5.2","48","0","180","0","21796.752174320038","32972.341635072","54769.09380939204","921000","4.000495951872001"
"2","1.5","true","-0.3","0.59","5.2","3","0","180","0","19294.151799768","33154.5","52448.651799768","588317.522800928","3.875"
"7","1.5","true","-0.3","0.69","5.2","49","0","180","0","27681.10863882096","34104.22798970881","61785.33662852977","921000","4.000495951872001"
"4","1.5","true","-0.3","0.63","5.2","2","0","180","0","21633.041799767998","31248","52881.041799768","709744.7264004641","3.875"
"6","1.5","true","-0.3","0.67","5.2","1","0","180","0","23677.861799768","33034.375","56712.236799768","829442","3.875"
"3","1.5","true","-0.3","0.61","5.2","2","0","180","0","21111.121799768","31248","52359.121799768","710848.3264004639","3.875"
"7","1.5","true","-0.3","0.69","5.2","50","0","180","0","26526.603626010117","32259.999355895812","58786.60298190593","899755.7356656524","4.000495951872001"
"5","1.5","true","-0.3","0.65","5.2","3","0","180","0","20728.211799768","33154.5","53882.711799768","581875.2028009279","3.875"
"7","1.5","true","-0.3","0.69","5.2","51","0","180","0","24786.099779000637","34228.24336421684","59014.34314321748","776727.5297018406","4.000495951872001"
"3","1.5","true","-0.3","0.61","5.2","3","0","180","0","19772.171799768","33154.5","52926.671799767995","586170.082800928","3.875"
"6","1.5","true","-0.3","0.67","5.2","2","0","180","0","22676.881799767998","31248","53924.881799768","707537.5264004641","3.875"
"7","1.5","true","-0.3","0.69","5.2","52","0","180","0","15649.624532894519","29403.645246259206","45053.26977915372","686488.8434154056","4.000495951872001"
"3","1.5","true","-0.3","0.61","5.2","4","0","180","0","12970.061799767998","28481.25","41451.311799767995","483425.73920139205","3.875"
"2","1.5","true","-0.3","0.59","5.2","4","0","180","0","12715.061799767998","28481.25","41196.311799767995","486529.219201392","3.875"
"5","1.5","true","-0.3","0.65","5.2","4","0","180","0","13480.061799767998","28481.25","41961.311799767995","477218.77920139185","3.875"
"3","1.5","true","-0.3","0.61","5.2","5","0","180","0","4901.64749894514","26067.125","30968.772498945138","450037.115601856","3.875"
"7","1.5","true","-0.3","0.69","5.2","53","0","180","0","6395.162210163389","26911.336268242947","33306.498478406334","657269.3038570981","4.000495951872001"
"6","1.5","true","-0.3","0.67","5.2","3","0","180","0","21206.231799768","33154.5","54360.731799768","579727.7628009282","3.875"
"4","1.5","true","-0.3","0.63","5.2","3","0","180","0","20250.191799768","33154.5","53404.691799768","584022.6428009281","3.875"
"7","1.5","true","-0.3","0.69","5.2","54","0","180","0","600.3","24243.005468344323","24843.305468344322","773706.3069002854","4.000495951872001"
"3","1.5","true","-0.3","0.61","5.2","6","0","180","0","420.9","23482.5","23903.4","626721.5706039658","3.875"
"6","1.5","true","-0.3","0.67","5.2","4","0","180","0","13735.061799767998","28481.25","42216.311799767995","474115.29920139216","3.875"
"7","1.5","true","-0.3","0.69","5.2","55","0","180","0","598.92","24182.998029066242","24781.91802906624","921000","4.000495951872001"
"3","1.5","true","-0.3","0.61","5.2","7","0","180","0","434.93","23424.375","23859.305","904770.7706039657","3.875"
"6","1.5","true","-0.3","0.67","5.2","5","0.2","180","0","3992.741999156113","20853.7","24846.441999156115","439196.67560185614","3.875"
"7","1.5","true","-0.3","0.69","5.2","56","0","180","0","598.92","24431.02877808231","25029.948778082307","921000","4.000495951872001"
"2","1.5","true","-0.3","0.59","5.2","5","0","180","0","4871.88749894514","26067.125","30939.01249894514","453650.595601856","3.875"
"7","1.5","true","-0.3","0.69","5.2","57","0","180","0","600.3","24243.005468344323","24843.305468344322","921000","4.000495951872001"
"3","1.5","true","-0.3","0.61","5.2","8","0","180","0","434.93","23664.625","24099.555","921000","3.875"
"7","1.5","true","-0.3","0.69","5.2","58","0","180","0","3869.854863516539","27407.397766275077","31277.252629791616","921000","4.000495951872001"
"6","1.5","true","-0.3","0.67","5.2","6","0","180","0","462.3","23482.5","23944.8","628125.7916035439","3.875"
"5","1.5","true","-0.3","0.65","5.2","5","0.2","180","0","3968.9339991561123","20853.7","24822.633999156114","442810.15560185583","3.875"
"7","1.5","true","-0.3","0.69","5.2","59","0","180","0","5757.292280150099","29163.615489146887","34920.90776929699","921000","4.000495951872001"
"3","1.5","true","-0.3","0.61","5.2","9","0","180","0","420.9","23482.5","23903.4","921000","3.875"
"6","1.5","true","-0.3","0.67","5.2","7","0","180","0","477.71000000000004","23424.375","23902.085","906092.1916035438","3.875"
"7","1.5","true","-0.3","0.69","5.2","60","0","180","0","19237.99074791337","33236.12036815258","52474.11111606595","921000","4.032499919486977"
"3","1.5","true","-0.3","0.61","5.2","10","0","180","0","2256.6019677087797","26547.625","28804.22696770878","921000","3.875"
"7","1.5","true","-0.3","0.69","5.2","61","0","180","0","25496.058296319417","34377.061813626475","59873.12010994589","921000","4.032499919486977"
"4","1.5","true","-0.3","0.63","5.2","4","0","180","0","13225.061799767998","28481.25","41706.311799767995","480322.25920139207","3.875"
"3","1.5","true","-0.3","0.61","5.2","11","0","180","0","4452.10994874696","28248.75","32700.859948746962","921000","3.875"
"6","1.5","true","-0.3","0.67","5.2","8","0","180","0","477.71000000000004","23664.625","24142.335","921000","3.875"
