"","run","water.price.elasticity","Irrigation.Efficiency","Scenario.1","Kc","share.other.crops.irrigation","water.price","tick","reduction.this.month","energy.output.this.month","water.price.this.month","ag.allocation.this.month","mu.allocation.this.month","total.allocation.this.month","V.display","population"
"83",1,-0.1,0.7,FALSE,0.2,0.57,5.2,82,0,180,5.2,5602.1358977086,27847.6702039925,33449.8061017011,921000,4.06475991884287
"84",1,-0.1,0.7,FALSE,0.2,0.57,5.2,83,0,180,5.2,11867.5439515284,29632.0998083645,41499.6437598929,909243.042762564,4.06475991884287
"85",1,-0.1,0.7,FALSE,0.2,0.57,5.2,84,0,180,5.2,29114.6832748704,33770.0254057466,62884.708680617,797251.755242778,4.09727799819362
"86",1,-0.1,0.7,FALSE,0.2,0.57,5.2,85,0,180,5.2,37835.058397237,34929.2949346006,72764.3533318376,662381.337881544,4.09727799819362
"87",1,-0.1,0.7,FALSE,0.2,0.57,5.2,86,0.239232676794318,180,17.6400991933045,23772.7620018714,26033.8121966429,49806.5741985143,503464.631217869,4.09727799819362
"88",1,-0.1,0.7,FALSE,0.2,0.57,5.2,87,0.333325794321482,180,22.532941304717,17073.1961135784,23371.1379916371,40444.3341052155,396415.482820841,4.09727799819362
"89",1,-0.1,0.7,FALSE,0.2,0.57,5.2,88,0.403108162495619,180,26.1616244497722,8042.74860164749,17975.3936793442,26018.1422809917,343752.81461041,4.09727799819362
"90",1,-0.1,0.7,FALSE,0.2,0.57,5.2,89,0.43201520435621,180,27.6647906265229,2430.61227152742,15655.0179369241,18085.6302084515,331800.530048426,4.09727799819362
"91",1,-0.1,0.7,FALSE,0.2,0.57,5.2,90,0.45170917768457,180,28.6888772395976,328.152057155785,13613.7895326801,13941.9415898358,385252.269631523,4.09727799819362
"92",1,-0.1,0.7,FALSE,0.2,0.57,5.2,91,0.283501968443761,180,19.9421023590756,417.797167180758,17746.2558455865,18164.0530127672,570502.386451851,4.09727799819362
"93",1,-0.1,0.7,FALSE,0.2,0.57,5.2,92,0,180,5.2,583.11,25022.0767349684,25605.1867349684,784506.280426317,4.09727799819362
"94",1,-0.1,0.7,FALSE,0.2,0.57,5.2,93,0,180,5.2,598.5,24829.5046690533,25428.0046690533,890907.90695638,4.09727799819362
"95",1,-0.1,0.7,FALSE,0.2,0.57,5.2,94,0,180,5.2,5218.1710225286,28070.4515656245,33288.6225881531,921000,4.09727799819362
"96",1,-0.1,0.7,FALSE,0.2,0.57,5.2,95,0,180,5.2,11323.0003111724,29869.1566068315,41192.1569180039,898613.652441967,4.09727799819362
"97",1,-0.1,0.7,FALSE,0.2,0.57,5.2,96,0,180,5.2,27198.9560786488,34040.1856089926,61239.1416876414,793010.338605959,4.13005622217916
"98",1,-0.1,0.7,FALSE,0.2,0.57,5.2,97,0.10090856094307,180,10.4472451690397,31716.4737938341,31655.8670883779,63372.340882212,657094.055230676,4.13005622217916
"99",1,-0.1,0.7,FALSE,0.2,0.57,5.2,98,0.20333924995576,180,15.7736409976995,22380.0159055443,26532.605737501,48912.6216430452,527218.373466252,4.13005622217916
"100",1,-0.1,0.7,FALSE,0.2,0.57,5.2,99,0.282946016163087,180,19.9131928404805,16792.7469329138,25338.3652774487,42131.1122103625,426372.130180162,4.13005622217916
"101",1,-0.1,0.7,FALSE,0.2,0.57,5.2,100,0.407768497531906,180,26.4039618716591,7281.42332160243,17977.7281027807,25259.1514243831,341068.905759437,4.13005622217916
"102",1,-0.1,0.7,FALSE,0.2,0.57,5.2,101,0.512096014765063,180,31.8289927677833,2027.68920330688,13555.3818773365,15583.0710806434,285019.602910671,4.13005622217916
"103",1,-0.1,0.7,FALSE,0.2,0.57,5.2,102,0.572622508654641,180,34.9763704500413,226.552808162175,10696.4639881423,10923.0167963045,300293.460749384,4.13005622217916
"104",1,-0.1,0.7,FALSE,0.2,0.57,5.2,103,0.518097839240901,180,32.1410876405268,255.456335418398,12031.2608409368,12286.7171763552,383708.427156775,4.13005622217916
"105",1,-0.1,0.7,FALSE,0.2,0.57,5.2,104,0.425216260425308,180,27.311245542116,304.692860348544,14497.3411003512,14802.0339606998,490594.992804065,4.13005622217916
"106",1,-0.1,0.7,FALSE,0.2,0.57,5.2,105,0.319965795874029,180,21.8382213854495,360.486131607177,17019.9917460334,17380.4778776406,595273.924882665,4.13005622217916
"107",1,-0.1,0.7,FALSE,0.2,0.57,5.2,106,0.253071762263782,180,18.3597316377167,3831.73889233385,21134.3458237347,24966.0847160686,647899.969127384,4.13005622217916
"108",1,-0.1,0.7,FALSE,0.2,0.57,5.2,107,0.257088014319406,180,18.5685767446091,8031.7117794511,22367.6756809489,30399.3874604,630087.799695247,4.13005622217916
"109",1,-0.1,0.7,FALSE,0.2,0.57,5.2,108,0.265069414268593,180,18.9836095419668,20032.0131730061,25217.3109364069,45249.324109413,580547.024774447,4.1630966719566
"110",1,-0.1,0.7,FALSE,0.2,0.57,5.2,109,0.306232854125137,180,21.1241084145071,24136.6731783213,24622.0729092906,48758.7460876119,507034.376555621,4.1630966719566
"111",1,-0.1,0.7,FALSE,0.2,0.57,5.2,110,0.331618752516267,180,22.4441751308459,17901.9586311756,22438.3682637897,40340.3268949653,442324.884380397,4.1630966719566
"112",1,-0.1,0.7,FALSE,0.2,0.57,5.2,111,0.343410028832927,180,23.0573214993122,4041.38284844088,23387.3770136818,27428.7598621226,390419.230590466,4.1630966719566
"113",1,-0.1,0.7,FALSE,0.2,0.57,5.2,112,0.39439509546246,180,25.7085449640479,1863.83196457544,18530.7594551161,20394.5914196915,348770.710866221,4.1630966719566
"114",1,-0.1,0.7,FALSE,0.2,0.57,5.2,113,0.345203372593771,180,23.1505753748761,1761.86965872311,18337.6786292638,20099.5482879869,382513.528026838,4.1630966719566
"115",1,-0.1,0.7,FALSE,0.2,0.57,5.2,114,0.139750741628009,180,12.4670385646565,0,21702.6829969643,21702.6829969643,604447.431450864,4.1630966719566
"116",1,-0.1,0.7,FALSE,0.2,0.57,5.2,115,0,180,5.2,0,25165.9193819776,25165.9193819776,850648.065456935,4.1630966719566
"117",1,-0.1,0.7,FALSE,0.2,0.57,5.2,116,0,180,5.2,0,25424.0313756389,25424.0313756389,921000,4.1630966719566
"118",1,-0.1,0.7,FALSE,0.2,0.57,5.2,117,0,180,5.2,0,25228.365832057,25228.365832057,921000,4.1630966719566
"119",1,-0.1,0.7,FALSE,0.2,0.57,5.2,118,0,180,5.2,2381.796614477,28521.3752995747,30903.1719140517,921000,4.1630966719566
"120",1,-0.1,0.7,FALSE,0.2,0.57,5.2,119,0,180,5.2,11929.105120936,30348.9747385636,42278.0798594996,921000,4.1630966719566
"121",2,-0.1,0.7,FALSE,0.2,0.57,5.2,0,0,0,0,0,0,0,0,3.875
"122",2,-0.1,0.7,FALSE,0.2,0.57,5.2,1,0,180,5.2,31116.8169964,33034.375,64151.1919964,829442,3.875
"123",2,-0.1,0.7,FALSE,0.2,0.57,5.2,2,0,180,5.2,24109.03019784,31248,55357.03019784,692659.6160072,3.875
