"BehaviorSpace results (NetLogo 6.0.2)"
"CapeTownABM.nlogo"
"scenario 2 price elasticity"
"04/02/2019 18:05:56:204 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","water-price-elasticity","Irrigation-Efficiency","Scenario-1?","Kc","share-other-crops-irrigation","water-price","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"8","-0.8","0.7","false","0.2","0.57","5.2","21","0","180","5.2","393.29999999999995","23670.36","24063.66","912870.5337356289","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","25","0","180","5.2","36634.807000732995","33565.0392","70199.846200733","753042.1461204845","3.9372480000000003"
"5","-0.51","0.7","false","0.2","0.57","5.2","25","0","180","5.2","36634.807000732995","33565.0392","70199.846200733","753042.1461204845","3.9372480000000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","25","0","180","5.2","36634.807000732995","33565.0392","70199.846200733","753042.1461204845","3.9372480000000003"
"8","-0.8","0.7","false","0.2","0.57","5.2","22","0","180","5.2","4378.709253966999","26760.006","31138.715253967","921000","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","26","0","180","5.2","29386.273818245398","31749.967872","61136.2416902454","597768.4537190185","3.9372480000000003"
"5","-0.51","0.7","false","0.2","0.57","5.2","26","0","180","5.2","29386.273818245398","31749.967872","61136.2416902454","597768.4537190185","3.9372480000000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","26","0","180","5.2","29386.273818245398","31749.967872","61136.2416902454","597768.4537190185","3.9372480000000003"
"8","-0.8","0.7","false","0.2","0.57","5.2","23","0","180","5.2","11227.666769201998","28474.74","39702.406769202","921000","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","27","0.22256955476592455","180","16.773616847828077","19127.27112834356","26189.372399989945","45316.6435283335","462272.97033852764","3.9372480000000003"
"5","-0.51","0.7","false","0.2","0.57","5.2","27","0.22256955476592455","180","7.469336636829034","19127.27112834356","26189.372399989945","45316.6435283335","462272.97033852764","3.9372480000000003"
"8","-0.8","0.7","false","0.2","0.57","5.2","24","0","180","5.2","28169.8637844032","32451.048000000003","60620.9117844032","883864.969689291","3.9372480000000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","27","0.22256955476592455","180","8.093404211957019","19127.27112834356","26189.372399989945","45316.6435283335","462272.97033852764","3.9372480000000003"
"1","-0.1","0.7","false","0.2","0.57","5.2","28","0.3453227881594635","180","23.156784984292102","8463.38297992682","18945.555090790756","27408.938070717577","377031.6832818606","3.9372480000000003"
"8","-0.8","0.7","false","0.2","0.57","5.2","25","0","180","5.2","36634.807000732995","33565.0392","70199.846200733","753042.1461204845","3.9372480000000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","28","0.3453227881594635","180","9.689196246073026","8463.38297992682","18945.555090790756","27408.938070717577","377031.6832818606","3.9372480000000003"
"1","-0.1","0.7","false","0.2","0.57","5.2","29","0.37156501619742577","180","24.52138084226614","2230.5214104362667","16644.64558515889","18875.16699559516","367113.8071404255","3.9372480000000003"
"8","-0.8","0.7","false","0.2","0.57","5.2","26","0","180","5.2","29386.273818245398","31749.967872","61136.2416902454","597768.4537190185","3.9372480000000003"
"7","-0.7","0.7","false","0.2","0.57","5.2","2","0","180","5.2","24109.030197839995","31248","55357.030197839995","692659.6160072","3.875"
"4","-0.4","0.7","false","0.2","0.57","5.2","29","0.37156501619742577","180","10.030345210566535","2230.5214104362667","16644.64558515889","18875.16699559516","367113.8071404255","3.9372480000000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","2","0","180","5.2","24109.030197839995","31248","55357.030197839995","692659.6160072","3.875"
"1","-0.1","0.7","false","0.2","0.57","5.2","30","0.2942944885046255","180","20.503313402240526","398.2296201368398","16837.937939168292","17236.167559305133","495858.4731492352","3.9372480000000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","30","0.2942944885046255","180","9.02582835056013","398.2296201368398","16837.937939168292","17236.167559305133","495858.4731492352","3.9372480000000003"
"1","-0.1","0.7","false","0.2","0.57","5.2","31","0.10873275196056531","180","10.854103101949395","503.9581527314179","21212.752447394003","21716.71060012542","709660.138030625","3.9372480000000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","3","0","180","5.2","19779.77679856","33154.5","52934.27679856","561985.5556115201","3.875"
"7","-0.7","0.7","false","0.2","0.57","5.2","3","0","180","5.2","19779.77679856","33154.5","52934.27679856","561985.5556115201","3.875"
"4","-0.4","0.7","false","0.2","0.57","5.2","31","0.10873275196056531","180","6.613525775487349","503.9581527314179","21212.752447394003","21716.71060012542","709660.138030625","3.9372480000000003"
"1","-0.1","0.7","false","0.2","0.57","5.2","32","0","180","5.2","565.4399999999999","24044.773536","24610.213536","853905.7168303742","3.9372480000000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","32","0","180","5.2","565.4399999999999","24044.773536","24610.213536","853905.7168303742","3.9372480000000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","4","0","180","5.2","10345.603399279998","28481.25","38826.85339928","459226.0020144001","3.875"
"7","-0.7","0.7","false","0.2","0.57","5.2","4","0","180","5.2","10345.603399279998","28481.25","38826.85339928","459226.0020144001","3.875"
"1","-0.1","0.7","false","0.2","0.57","5.2","33","0","180","5.2","564.3","23859.72288","24424.02288","921000","3.9372480000000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","33","0","180","5.2","564.3","23859.72288","24424.02288","921000","3.9372480000000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","5","0","180","5.2","3175.1075206193996","26067.125","29242.2325206194","431086.2952158401","3.875"
"7","-0.7","0.7","false","0.2","0.57","5.2","5","0","180","5.2","3175.1075206193996","26067.125","29242.2325206194","431086.2952158401","3.875"
"1","-0.1","0.7","false","0.2","0.57","5.2","34","0","180","5.2","5431.6949628396","26974.086048","32405.7810108396","921000","3.9372480000000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","34","0","180","5.2","5431.6949628396","26974.086048","32405.7810108396","921000","3.9372480000000003"
"1","-0.1","0.7","false","0.2","0.57","5.2","35","0","180","5.2","10270.146764517998","28702.537920000002","38972.684684518","921000","3.9372480000000003"
"7","-0.7","0.7","false","0.2","0.57","5.2","6","0","180","5.2","393.29999999999995","23482.5","23875.8","611223.8301746013","3.875"
"4","-0.4","0.7","false","0.2","0.57","5.2","35","0","180","5.2","10270.146764517998","28702.537920000002","38972.684684518","921000","3.9372480000000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","6","0","180","5.2","393.29999999999995","23482.5","23875.8","611223.8301746013","3.875"
"1","-0.1","0.7","false","0.2","0.57","5.2","36","0","180","5.2","25150.824024554397","32710.656384","57861.4804085544","901301.312607659","3.9687459840000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","36","0","180","5.2","25150.824024554397","32710.656384","57861.4804085544","901301.312607659","3.9687459840000003"
"7","-0.7","0.7","false","0.2","0.57","5.2","7","0","180","5.2","406.40999999999997","23424.375","23830.785","889328.2301746012","3.875"
"3","-0.3","0.7","false","0.2","0.57","5.2","7","0","180","5.2","406.40999999999997","23424.375","23830.785","889328.2301746012","3.875"
"4","-0.4","0.7","false","0.2","0.57","5.2","37","0","180","5.2","32619.695744893994","33833.559513600005","66453.255258494","781474.3517905502","3.9687459840000003"
