"BehaviorSpace results (NetLogo 6.0.4)"
"CapeTownABM.nlogo"
"scenario 1 efficiency"
"04/07/2019 01:43:19:093 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","Kc","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"17","0.61","true","-0.51","0.57","5.2","0.2","11","0","180","0","7121.497486602559","28248.75","35370.24748660256","921000","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","47","0","180","0","9627.949901063239","28932.158223360002","38560.10812442324","921000","3.9687459840000003"
"3","0.6","true","-0.51","0.57","5.2","0.2","2","0","180","0","22789.843026719995","31248","54037.843026719995","697056.9065775999","3.875"
"13","0.61","true","-0.51","0.57","5.2","0.2","1","0","180","0","29138.036239719993","33034.375","62172.41123971999","829442","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","48","0","180","0","24660.994270210078","32972.341635072","57633.335905282074","921000","4.000495951872001"
"20","0.61","true","-0.51","0.57","5.2","0.2","15","0","180","0","18538.43086301796","33419.736000000004","51958.16686301796","647768.1369166742","3.906"
"17","0.61","true","-0.51","0.57","5.2","0.2","12","0","180","0","20546.807731146","32193.5","52740.307731146","921000","3.906"
"3","0.6","true","-0.51","0.57","5.2","0.2","3","0","180","0","18900.31868448","33154.5","52054.81868448","569021.22052416","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","49","0","180","0","32035.298446002394","34104.22798970881","66139.5264357112","921000","4.000495951872001"
"20","0.61","true","-0.51","0.57","5.2","0.2","16","0","180","0","9725.77745849908","28709.100000000002","38434.87745849908","591508.8031906383","3.906"
"13","0.61","true","-0.51","0.57","5.2","0.2","2","0","180","0","22921.761743831998","31248","54169.761743832","696617.1775205601","3.875"
"15","0.61","true","-0.51","0.57","5.2","0.2","1","0","180","0","29138.036239719993","33034.375","62172.41123971999","829442","3.875"
"3","0.6","true","-0.51","0.57","5.2","0.2","4","0","180","0","9905.874342239998","28481.25","38387.12434224","468020.5831552","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","50","0","180","0","25716.690987562677","32259.999355895812","57976.69034345849","891033.9608193962","4.000495951872001"
"17","0.61","true","-0.51","0.57","5.2","0.2","13","0","180","0","28230.126068625497","33298.65","61528.7760686255","909234.7708083105","3.906"
"20","0.61","true","-0.51","0.57","5.2","0.2","17","0","180","0","2369.012741273519","26275.662","28644.67474127352","608288.0482736402","3.906"
"13","0.61","true","-0.51","0.57","5.2","0.2","3","0","180","0","18988.264495887997","33154.5","52142.764495888","568317.654032896","3.875"
"9","0.6","true","-0.51","0.57","5.2","0.2","1","0","180","0","28918.171711199997","33034.375","61952.5467112","829442","3.875"
"15","0.61","true","-0.51","0.57","5.2","0.2","2","0","180","0","22921.761743831998","31248","54169.761743832","696617.1775205601","3.875"
"20","0.61","true","-0.51","0.57","5.2","0.2","18","0","180","0","393.29999999999995","23670.36","24063.66","714773.6987910932","3.906"
"7","0.6","true","-0.51","0.57","5.2","0.2","1","0","180","0","28918.171711199997","33034.375","61952.5467112","829442","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","51","0","180","0","21563.492609760637","34228.24336421684","55791.73597397748","769625.5801324793","4.000495951872001"
"17","0.61","true","-0.51","0.57","5.2","0.2","14","0","180","0","22393.056877192677","31497.984","53891.040877192674","760761.2186710595","3.906"
"13","0.61","true","-0.51","0.57","5.2","0.2","4","0","180","0","9949.847247943999","28481.25","38431.097247943995","467141.12504112","3.875"
"15","0.61","true","-0.51","0.57","5.2","0.2","3","0","180","0","18988.264495887997","33154.5","52142.764495888","568317.654032896","3.875"
"3","0.6","true","-0.51","0.57","5.2","0.2","5","0.2","180","0","2274.14915699616","20853.7","23127.849156996162","440760.33447072003","3.875"
"9","0.6","true","-0.51","0.57","5.2","0.2","2","0","180","0","22789.843026719995","31248","54037.843026719995","697056.9065775999","3.875"
"20","0.61","true","-0.51","0.57","5.2","0.2","19","0","180","0","388.73999999999995","23611.77","24000.510000000002","838231.3787910931","3.906"
"17","0.61","true","-0.51","0.57","5.2","0.2","15","0","180","0","18538.43086301796","33419.736000000004","51958.16686301796","647768.1369166742","3.906"
"15","0.61","true","-0.51","0.57","5.2","0.2","4","0","180","0","9949.847247943999","28481.25","38431.097247943995","467141.12504112","3.875"
"5","0.6","true","-0.51","0.57","5.2","0.2","1","0","180","0","28918.171711199997","33034.375","61952.5467112","829442","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","52","0","180","0","11333.081794204758","29403.645246259206","40736.727040463964","685832.1081845243","4.000495951872001"
"12","0.61","true","-0.51","0.57","5.2","0.2","1","0","180","0","29138.036239719993","33034.375","62172.41123971999","829442","3.875"
"4","0.6","true","-0.51","0.57","5.2","0.2","1","0","180","0","28918.171711199997","33034.375","61952.5467112","829442","3.875"
"8","0.6","true","-0.51","0.57","5.2","0.2","1","0","180","0","28918.171711199997","33034.375","61952.5467112","829442","3.875"
"9","0.6","true","-0.51","0.57","5.2","0.2","3","0","180","0","18900.31868448","33154.5","52054.81868448","569021.22052416","3.875"
"3","0.6","true","-0.51","0.57","5.2","0.2","6","0","180","0","393.29999999999995","23482.5","23875.8","633126.6361567277","3.875"
"7","0.6","true","-0.51","0.57","5.2","0.2","2","0","180","0","22789.843026719995","31248","54037.843026719995","697056.9065775999","3.875"
"20","0.61","true","-0.51","0.57","5.2","0.2","20","0","180","0","388.73999999999995","23853.942","24242.682","904190.3587910931","3.906"
"13","0.61","true","-0.51","0.57","5.2","0.2","5","0.2","180","0","2300.7428429460956","20853.7","23154.442842946097","439792.930545232","3.875"
"18","0.61","true","-0.51","0.57","5.2","0.2","1","0","180","0","29138.036239719993","33034.375","62172.41123971999","829442","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","53","0","180","0","3644.6312368875197","26911.336268242947","30555.967505130466","665245.6541035965","4.000495951872001"
"17","0.61","true","-0.51","0.57","5.2","0.2","16","0","180","0","9725.77745849908","28709.100000000002","38434.87745849908","591508.8031906383","3.906"
"20","0.61","true","-0.51","0.57","5.2","0.2","21","0","180","0","393.29999999999995","23670.36","24063.66","921000","3.906"
"6","0.6","true","-0.51","0.57","5.2","0.2","1","0","180","0","28918.171711199997","33034.375","61952.5467112","829442","3.875"
"19","0.61","true","-0.51","0.57","5.2","0.2","1","0","180","0","29138.036239719993","33034.375","62172.41123971999","829442","3.875"
"9","0.6","true","-0.51","0.57","5.2","0.2","4","0","180","0","9905.874342239998","28481.25","38387.12434224","468020.5831552","3.875"
"14","0.61","true","-0.51","0.57","5.2","0.2","1","0","180","0","29138.036239719993","33034.375","62172.41123971999","829442","3.875"
"11","0.61","true","-0.51","0.57","5.2","0.2","1","0","180","0","29138.036239719993","33034.375","62172.41123971999","829442","3.875"
"7","0.6","true","-0.51","0.57","5.2","0.2","3","0","180","0","18900.31868448","33154.5","52054.81868448","569021.22052416","3.875"
"3","0.6","true","-0.51","0.57","5.2","0.2","7","0","180","0","406.40999999999997","23424.375","23830.785","911231.0361567276","3.875"
"15","0.61","true","-0.51","0.57","5.2","0.2","5","0.2","180","0","2300.7428429460956","20853.7","23154.442842946097","439792.930545232","3.875"
"10","0.6","true","-0.51","0.57","5.2","0.2","1","0","180","0","28918.171711199997","33034.375","61952.5467112","829442","3.875"
"1","0.6","true","-0.51","0.57","5.2","0.2","1","0","180","0","28918.171711199997","33034.375","61952.5467112","829442","3.875"
"4","0.6","true","-0.51","0.57","5.2","0.2","2","0","180","0","22789.843026719995","31248","54037.843026719995","697056.9065775999","3.875"
"8","0.6","true","-0.51","0.57","5.2","0.2","2","0","180","0","22789.843026719995","31248","54037.843026719995","697056.9065775999","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","54","0","180","0","495.9","24243.005468344323","24738.905468344325","787183.7190933356","4.000495951872001"
"17","0.61","true","-0.51","0.57","5.2","0.2","17","0","180","0","2369.012741273519","26275.662","28644.67474127352","608288.0482736402","3.906"
"12","0.61","true","-0.51","0.57","5.2","0.2","2","0","180","0","22921.761743831998","31248","54169.761743832","696617.1775205601","3.875"
"13","0.61","true","-0.51","0.57","5.2","0.2","6","0","180","0","393.29999999999995","23482.5","23875.8","632106.0448593397","3.875"
"20","0.61","true","-0.51","0.57","5.2","0.2","22","0","180","0","4076.995921314099","26760.006","30837.0019213141","921000","3.906"
"18","0.61","true","-0.51","0.57","5.2","0.2","2","0","180","0","22921.761743831998","31248","54169.761743832","696617.1775205601","3.875"
"3","0.6","true","-0.51","0.57","5.2","0.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"15","0.61","true","-0.51","0.57","5.2","0.2","6","0","180","0","393.29999999999995","23482.5","23875.8","632106.0448593397","3.875"
"19","0.61","true","-0.51","0.57","5.2","0.2","2","0","180","0","22921.761743831998","31248","54169.761743832","696617.1775205601","3.875"
